Language_ID	Language_Name	Language_Macroarea	Language_Family_Name	Parameters_Coded	Mean_Similarity	Median_Similarity	Similarity_SD
bats1242	Bats	Eurasia	Nakh-Daghestanian	148	65.0502466555184	64.66	6.73161413947832
baur1253	Baure	South America	Arawakan	168	61.1408319397993	61.23	5.81511123109833
bauz1241	Bauzi	Papunesia	Geelvink Bay	93	62.0796530100334	62.2	7.36102181514978
bawm1236	Bawm Chin	Eurasia	Sino-Tibetan	160	68.7866178929766	68.99	7.11006058319902
bayb1234	Baybayanon	Papunesia	Austronesian	149	63.2502341137124	63.365	6.36330259667126
bayo1255	Kugere-Kuxinge	Africa	Atlantic-Congo	58	57.7521371810958	57.14	9.34744640982342
bebe1248	Bebele	Africa	Atlantic-Congo	184	67.303102006689	66.905	6.85099112958084
beel1236	Beele	Africa	Afro-Asiatic	52	67.273762541806	68	8.38727793091361
beem1239	Beembe	Africa	Atlantic-Congo	144	64.7151379598662	63.79	7.7796806068645
beja1238	Beja	Africa	Afro-Asiatic	121	53.8854389632107	53.54	5.89742617796135
beka1241	Riuk Bekati'	Papunesia	Austronesian	179	65.6575919732442	64.85	7.8191329894509
bekw1241	Bekwarra	Africa	Atlantic-Congo	157	68.3324331103679	68.15	7.12018288852752
bekw1242	Bekwil	Africa	Atlantic-Congo	100	67.769995819398	67.78	7.39977731757024
bela1254	Belarusian	Eurasia	Indo-European	190	60.2585827759197	59.88	5.85938128977444
bela1256	Belanda Bor	Africa	Nilotic	76	63.1223871237458	63.38	7.33888387341958
bela1260	Lemeting	Papunesia	Austronesian	92	60.664970735786	60.47	9.18015254513596
belh1239	Belhariya	Eurasia	Sino-Tibetan	166	65.4536663879599	65.445	6.7531631247724
beli1257	Beli (South Sudan)	Africa	Central Sudanic	133	69.9725877926421	70.13	8.03530409840297
beli1260	Belize Kriol English	North America	Indo-European	130	67.6607065217391	67.5	8.20494308137621
bell1243	Bella Coola	North America	Salishan	191	61.3050710702341	61.5	5.67718741619127
belu1239	Belueli	Africa	Atlantic-Congo	73	67.3728511705686	66.67	9.70169334960968
bemb1257	Bemba (Zambia)	Africa	Atlantic-Congo	183	61.999368729097	61.11	6.3921502449478
bena1262	Bena (Tanzania)	Africa	Atlantic-Congo	93	62.564397993311	61.45	9.12344410993262
benc1235	Bench	Africa	Ta-Ne-Omotic	82	62.7719029694688	62.5	8.1030324774844
beng1282	Benga	Africa	Atlantic-Congo	132	67.2298578595318	66.67	6.88955401745726
bent1238	Ben Tey Dogon	Africa	Dogon	170	65.2590133779264	65.62	5.91466225217707
bera1262	Berau Malay	Papunesia	Austronesian	11	67.0777142857143	66.67	17.3162169114233
berb1259	Berbice Creole Dutch	South America	Indo-European	170	69.7343311036789	69.88	7.94607523494357
bert1248	Berta	Africa		119	68.2366889632107	68.75	6.67894358423049
beta1252	Betawi	Papunesia	Austronesian	170	68.0790175585284	68.22	7.93986898682355
beto1236	Betoi-Jirara	South America		130	64.0801964882943	64.36	7.01288044234017
bezh1248	Bezhta	Eurasia	Nakh-Daghestanian	158	64.9539297658863	65.285	6.86607308000908
bhoj1244	Bhojpuri	Eurasia	Indo-European	171	67.4476964882943	67.52	6.61138251478912
biaf1240	Biafada	Africa	Atlantic-Congo	123	65.2714673913043	65.45	6.82922463055371
biak1248	Biak	Papunesia	Austronesian	100	60.0523536789298	60.24	8.448051348117
bian1252	Biangai	Papunesia	Goilalan	155	67.5082190635452	68.12	6.14415792653363
biao1253	Shidong Biao	Eurasia	Tai-Kadai	175	67.6546697324415	67.205	8.6089239475408
biao1254	Biao-Jiao Mien	Eurasia	Hmong-Mien	191	68.1532943143813	67.74	8.37581058433812
biao1256	Biao Mon	Eurasia	Hmong-Mien	189	68.5180643812709	68.1	8.56137032193125
biat1246	Biatah Bidayuh	Papunesia	Austronesian	137	69.6827424749164	69.33	9.11479350550513
bidy1244	Kanyaki-Kagbaaga-Kajoko Bidyogo	Africa	Atlantic-Congo	138	61.7086245819398	60.58	7.17492922903103
bier1244	Bierebo	Papunesia	Austronesian	186	61.9696864548495	62.145	6.08757535985862
bign1238	Big Nambas	Papunesia	Austronesian	181	68.493766722408	68.715	6.91120317327694
biha1246	Bih	Eurasia	Austronesian	182	70.1347575250836	69.635	8.70741777110974
bila1255	Bila	Africa	Atlantic-Congo	134	65.9222658862876	65.35	7.49679619062398
bilb1241	Bilibil	Papunesia	Austronesian	141	66.9974540133779	67.18	5.72778526538833
